"site_no","Hylak_id","level_long_term_mean","level_long_term_mean_smooth","level_long_term_median","level_long_term_sd","level_2024_mean","level_2024_mean_smooth","level_2024_median","level_2024_sd","level_anomaly","level_anomaly_smooth","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","ID","HYBAS_ID"
"000336",8,176.085188323917,176.086647834275,176,0.418904266487971,176.187647058824,176.174705882353,176.18,0.139524274493385,0.102458734906378,0.0880580480780111,"Huron","United States of America","North America","SWBD",1,0,59399.3,8856.64,10.25,3550000,0,1,59.8,9162.152,4484.5,175,-1,576017.7,-82.422576,42.999403,8,7020024600
"000337",5,182.932808551992,182.933352769679,182.92,0.241499416512379,182.969090909091,182.960606060606,182.94,0.114273893463348,0.0362823570986848,0.0272532909267795,"Superior","United States of America","North America","SWBD",1,0,81843.92,5248.36,5.18,12004000,0,1,146.7,2869.953,48410.3,179,-1,209219.5,-84.460547,46.468593,5,7020024600
"000338",136,1606.84163556531,1606.8424259056,1606.88,0.222835037313698,1606.32242424242,1606.31757575758,1606.35,0.0735709820101586,-0.519211322888623,-0.524850148022551,"Issyk Kul","Kyrgyzstan","Asia","SWBD",1,0,6195.93,608.84,2.18,1738000,0,1,280.5,72.678,276778.9,1601,-1,21917,77.427083,42.485417,136,4020050220
"000340",117,-0.365863453815261,-0.368022088353414,-0.35,0.128755767513767,-0.251764705882353,-0.244411764705882,-0.26,0.148047301782445,0.114098747932908,0.123610323647531,"Ijsselmeer","Netherlands","Europe","GRanD",3,6819,1962.7,466.81,2.97,8832.15,5120,1,4.5,144.89,705.5,0,-1,10569.5,5.647917,52.614583,117,2020018240
"000341",866,517.03374789916,517.084168067227,516.75,5.12581325438508,511.416388888889,511.395277777778,511.83,3.22821414830268,-5.61735901027083,-5.68889028944909,"Angostura Reservoir","Mexico","North America","SWBD",2,1391,566.28,761.85,9.03,9200,9200,2,16.2,334.529,318.3,525,-1,18330.8,-92.778548,16.400684,866,7020047840
"000342",1242,115.347804878049,115.354599303136,115.35,0.287418684597647,114.842941176471,114.826470588235,114.845,0.210072561948063,-0.504863701578188,-0.528128714900589,"Neusiedl","Hungary","Europe","SWBD",1,0,141.51,156.08,3.7,301.67,0,3,2.1,5.237,666.7,110,0.46,1142.6,16.801183,47.671437,1242,2020003440
"000343",145,12.4289522342065,12.44781201849,12.48,0.901379162350587,12.8380555555556,12.8211111111111,12.845,0.492885494928701,0.409103321349084,0.373299092621126,"Hungtze","China","Asia","SWBD",2,5295,1374.36,658.05,5.01,13500,13500,2,9.8,1293.236,120.8,10,-1,165046.9,118.726991,33.08953,145,4020006940
"000344",85,70.3316806722689,70.3407668067227,70.18,0.930097012750618,69.1314285714286,69.1325714285714,69.14,0.137330491390462,-1.20025210084033,-1.20819537815126,"Chiquita","Argentina","South America","SWBD",1,0,6132.89,1519.3,5.47,14483,0,1,2.4,371.115,451.7,69,-1,129875.5,-62.252083,-30.84375,85,6020014330
"000345",77,390.341240188383,390.3252433281,390,1.98345924244303,391.737714285714,391.719714285714,391.72,1.26173336820303,1.39647409733124,1.39447095761386,"Sobradinho Reservoir","Brazil","South America","GRanD",2,2516,2614.96,1301.66,7.18,34100,34100,2,13,2671.621,147.7,385,-1,500631.9,-40.824117,-9.42266,77,6020008320
"000347",1304,1046.98735759494,1046.99653481013,1046.785,1.00775179885129,1047.08571428571,1047.09628571429,1047.09,0.284411525727037,0.0983566907775639,0.0997509041590092,"Bosten","China","Asia","SWBD",1,0,961.84,250.21,2.28,8800,0,1,9.1,7.673,13274.1,1050,-1,40982.3,86.74801,41.831353,1304,4020050210
